symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv,*,delta,vega,gamma,theta,rho
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01955000,03/31/17,1955,P,E,0.05,0,0,0.281087,0,4483,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01960000,03/31/17,1960,C,E,414.3,402.8,408.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.053697
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01960000,03/31/17,1960,P,E,0.05,0,0,0.281087,0,3097,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01965000,03/31/17,1965,C,E,409.3,397.8,403.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.053834
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01965000,03/31/17,1965,P,E,0.05,0,0,0.281087,0,2391,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01970000,03/31/17,1970,C,E,404.3,392.8,398.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.053971
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01970000,03/31/17,1970,P,E,0.05,0,0,0.281087,0,3609,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01975000,03/31/17,1975,C,E,399.3,387.8,393.55,0.285146,0,15,2368.927,*,0.999946,0,0,0,0.054108
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01975000,03/31/17,1975,P,E,0.05,0,0,0.281087,0,9954,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01980000,03/31/17,1980,C,E,394.3,382.8,388.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.054245
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01980000,03/31/17,1980,P,E,0.05,0,0,0.281087,0,488,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01985000,03/31/17,1985,C,E,389.1,378,383.55,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.054382
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01985000,03/31/17,1985,P,E,0.05,0,0,0.281087,0,195,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01990000,03/31/17,1990,C,E,384.3,372.8,378.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.054519
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01990000,03/31/17,1990,P,E,0.05,0,0,0.281087,0,494,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01995000,03/31/17,1995,C,E,379.3,367.8,373.55,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.054656
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01995000,03/31/17,1995,P,E,0.05,0,0,0.281087,0,963,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C02000000,03/31/17,2000,C,E,374.3,362.8,368.55,0.285146,0,376,2368.927,*,0.999946,0,0,0,0.054793
SPX,CBOE,03/30/17,2368.06,SPXW  170331P02000000,03/31/17,2000,P,E,0.05,0,0,0.281087,0,11334,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C02005000,03/31/17,2005,C,E,369.3,357.8,363.55,0.285146,0,700,2368.927,*,0.999946,0,0,0,0.05493
SPX,CBOE,03/30/17,2368.06,SPXW  170331P02005000,03/31/17,2005,P,E,0.05,0,0,0.281087,0,166,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C02010000,03/31/17,2010,C,E,364.3,352.8,358.55,0.285146,0,702,2368.927,*,0.999946,0,0,0,0.055067
SPX,CBOE,03/30/17,2368.06,SPXW  170331P02010000,03/31/17,2010,P,E,0.05,0,0,0.281087,0,377,2368.927,*,0,0,0,-0,0
